time,P1,P4,P6
0.0,0.0,0.0,0.0
10.0,0.011664810436796867,0.6307795842512812,0.012130401993418354
20.0,0.023117199221969007,1.2212362852284315,0.025616676068800817
30.0,0.03286841214795606,1.6988905963899696,0.05876059889111686
40.0,0.04117077551518337,2.0852617546075454,0.17313612709707532
50.0,0.04824098680473804,2.3976352419324716,0.37004016562495007
60.0,0.05431565308949869,2.6495932621278264,0.5559061167020555
70.0,0.05981422604434461,2.8522371191620355,0.6618326087914259
80.0,0.06491410350949346,3.015402169914924,0.6834342859411875
90.0,0.06923793343912107,3.1474174445771155,0.6508487873928328
100.0,0.07262435713300976,3.254696714618134,0.5946365752723305
110.0,0.07526046048869667,3.3420484108263127,0.5333994111658823
120.0,0.07737159193535738,3.413188986696628,0.4756977205405592
130.0,0.07910831819192629,3.4710929019915255,0.42452169569540515
140.0,0.08056088723008915,3.5181848734994254,0.3807625216427324
150.0,0.08178658868703377,3.556450808791383,0.34599719647506805
160.0,0.08282576257986525,3.587509252849306,0.32808377005503264
170.0,0.08371019797341123,3.612642617002041,0.3569110228490306
180.0,0.08448156099914007,3.6326894177809055,0.502413682052998
190.0,0.0857970724863531,3.647209635162874,0.8326837090756656
200.0,0.10858013053722711,3.651571501103938,1.3267544520895502
210.0,0.3196000713013999,3.633914476386478,1.8987530706518865
220.0,0.7534485556482384,3.579238706996123,2.4759979272503383
230.0,1.1948931952838182,3.479085463571115,3.0205472705059035
240.0,1.579729073715423,3.3359338478130858,3.522109634912629
250.0,1.8989707076556994,3.1596185477505534,3.9817904289149872
260.0,2.1476199182418068,2.962852473015196,4.39375379596506
270.0,2.3185686984562848,2.7583902356775063,4.754067725110942
280.0,2.406938659345972,2.5565443781461905,5.065468620922677
290.0,2.4160330611715586,2.364337100941591,5.333265254605748
300.0,2.358644514069196,2.185925882912384,5.562966001322341
310.0,2.2529337476861913,2.023359593270297,5.759552829619555
320.0,2.117094217874408,1.8772624039596355,5.927305262888473
330.0,1.966103359829377,1.7473562526657536,6.069813719924666
340.0,1.8108648441464597,1.6328277763776449,6.190137769568848
350.0,1.658645136998398,1.5325685144790757,6.291112536489529
360.0,1.5139211899201424,1.4453178886494125,6.375622553161056
370.0,1.379194747830774,1.3697482607945244,6.446548021427551
380.0,1.255636384774891,1.3045298871169606,6.506455918125532
390.0,1.143551696644059,1.2483877500311444,6.557400464845669
400.0,1.0427049688250363,1.2001427020742275,6.600947015181619
410.0,0.9525377837032062,1.158732759483959,6.638293828586705
420.0,0.8723143596908225,1.1232180675066168,6.67038568714767
430.0,0.8012166983181492,1.092776053116984,6.6979911586596925
440.0,0.7384056303652419,1.0666918680780755,6.721750211121952
450.0,0.6830591350902382,1.044347169260139,6.742203832750054
460.0,0.6343952448346266,1.0252087682412159,6.759813371551462
470.0,0.5916848186960806,1.0088179217025246,6.774974186088215
480.0,0.5542577051967787,0.9947805740201041,6.788025674155539
490.0,0.5215054982880118,0.9827586995085992,6.799255802078845
500.0,0.49289150483857724,0.9724633050275627,6.808871438474792
510.0,0.46802957668237183,0.9636530774547245,6.816787289062381
520.0,0.4470233771143552,0.9561533217356044,6.821943272704366
530.0,0.43122578484569796,0.9499205458578281,6.820978688099496
540.0,0.4242545789303761,0.9451884025484381,6.805579713686722
